id,link_s,person1_id,person2_id
235,SHARED PLOT,6227,804
236,LEADER OF,6622,5140
237,SHARED PLOT,6622,4696
238,LEADER OF,6622,270
239,COLLEAGUE OF,6628,6622
240,ASSOCIATE OF,6669,5011
241,COLLEAGUE OF,6670,6672
242,SHARED PLOT,7556,5224
243,SHARED PLOT,7556,5462
244,COLLEAGUE OF,7570,270
245,COLLEAGUE OF,7570,4771
246,COLLEAGUE OF,7570,4793
247,COLLEAGUE OF,7571,4771
248,COLLEAGUE OF,7571,4793
249,COLLEAGUE OF,7571,270
250,COLLEAGUE OF,7572,4793
251,COLLEAGUE OF,7572,4771
252,COLLEAGUE OF,7572,270
253,FRIEND OF,7656,4755
254,COLLEAGUE OF,7758,828
255,LEADER OF,7824,4622
256,ASSOCIATE OF,7866,1400
